iter	Passed	Remaining
328	19569	39912
329	19622	39839
330	19675	39768
331	19729	39696
332	19786	39633
333	19840	39562
334	19895	39494
335	19949	39424
336	20003	39354
337	20063	39295
338	20120	39232
339	20181	39175
340	20238	39112
341	20295	39047
342	20353	38985
343	20413	38927
344	20471	38866
345	20529	38805
346	20586	38740
347	20643	38676
348	20698	38610
349	20754	38544
350	20814	38486
351	20872	38424
352	20929	38360
353	20984	38294
354	21041	38230
355	21099	38169
356	21156	38105
357	21213	38041
358	21266	37971
359	21318	37899
360	21373	37833
361	21426	37762
362	21477	37688
363	21527	37614
364	21578	37540
365	21628	37466
366	21678	37391
367	21732	37323
368	21786	37255
369	21841	37190
370	21894	37120
371	21947	37051
372	22002	36985
373	22057	36919
374	22111	36852
375	22168	36790
376	22223	36724
377	22278	36659
378	22335	36598
379	22393	36536
380	22448	36472
381	22504	36407
382	22559	36342
383	22617	36281
384	22676	36223
385	22734	36163
386	22794	36105
387	22852	36045
388	22909	35984
389	22965	35919
390	23021	35856
391	23076	35792
392	23131	35727
393	23186	35663
394	23242	35599
395	23297	35534
396	23348	35463
397	23403	35398
398	23456	35331
399	23512	35268
400	23564	35200
401	23618	35134
402	23675	35072
403	23731	35009
404	23784	34943
405	23842	34882
406	23898	34819
407	23955	34758
408	24014	34700
409	24073	34642
410	24133	34585
411	24186	34518
412	24245	34460
413	24299	34394
414	24351	34326
415	24404	34259
416	24462	34200
417	24514	34133
418	24573	34073
419	24632	34016
420	24688	33953
421	24747	33895
422	24806	33837
423	24864	33777
424	24921	33717
425	24979	33657
426	25037	33598
427	25095	33538
428	25155	33482
429	25213	33422
430	25271	33362
431	25326	33299
432	25385	33241
433	25441	33180
434	25496	33116
435	25555	33058
436	25612	32997
437	25670	32938
438	25729	32880
439	25786	32819
440	25845	32761
441	25904	32703
442	25962	32643
443	26019	32582
444	26081	32528
445	26141	32471
446	26200	32413
447	26255	32350
448	26311	32289
449	26366	32225
450	26422	32164
451	26481	32106
452	26538	32045
453	26595	31985
454	26654	31926
455	26710	31864
456	26764	31801
457	26819	31738
458	26874	31675
459	26930	31614
460	26985	31551
461	27040	31489
462	27098	31429
463	27155	31369
464	27209	31305
465	27265	31243
466	27320	31181
467	27377	31121
468	27435	31061
469	27492	31002
470	27550	30942
471	27605	30881
472	27660	30818
473	27719	30760
474	27776	30700
475	27830	30637
476	27885	30574
477	27939	30511
478	27994	30449
479	28048	30386
480	28105	30325
481	28161	30265
482	28214	30201
483	28268	30137
484	28321	30073
485	28374	30009
486	28428	29945
487	28483	29883
488	28535	29819
489	28590	29757
490	28646	29697
491	28702	29636
492	28756	29573
493	28812	29512
494	28869	29452
495	28923	29389
496	28977	29327
497	29031	29264
498	29088	29205
499	29142	29142
500	29201	29084
501	29258	29024
502	29310	28961
503	29367	28901
504	29422	28839
505	29478	28778
506	29535	28719
507	29590	28658
508	29650	28602
509	29706	28541
510	29767	28485
511	29828	28430
512	29885	28370
513	29936	28305
514	29989	28242
515	30043	28180
516	30102	28122
517	30156	28060
518	30210	27998
519	30271	27942
520	30324	27879
521	30382	27821
522	30440	27763
523	30498	27704
524	30558	27647
525	30617	27590
526	30675	27532
527	30732	27472
528	30787	27412
529	30844	27352
530	30903	27294
531	30958	27234
532	31015	27175
533	31071	27115
534	31126	27054
535	31182	26994
536	31240	26935
537	31299	26878
538	31355	26817
539	31410	26756
540	31464	26695
541	31519	26634
542	31577	26575
543	31632	26515
544	31689	26456
545	31744	26395
546	31798	26334
547	31853	26273
548	31908	26212
549	31962	26151
550	32018	26091
551	32074	26031
552	32130	25971
553	32184	25910
554	32240	25850
555	32296	25790
556	32351	25730
557	32414	25676
558	32471	25616
559	32529	25559
560	32584	25498
561	32642	25440
562	32698	25380
563	32754	25320
564	32810	25260
565	32864	25199
566	32917	25138
567	32976	25080
568	33032	25020
569	33085	24958
570	33138	24897
571	33193	24837
572	33250	24777
573	33304	24717
574	33370	24664
575	33430	24608
576	33490	24551
577	33547	24492
578	33610	24438
579	33672	24383
580	33736	24329
581	33804	24278
582	33865	24222
583	33929	24168
584	33994	24115
585	34058	24062
586	34122	24007
587	34184	23952
588	34251	23900
589	34315	23846
590	34378	23791
591	34437	23734
592	34496	23676
593	34561	23623
594	34624	23567
595	34688	23513
596	34749	23457
597	34813	23403
598	34873	23345
599	34932	23288
600	34993	23232
601	35053	23174
602	35114	23118
603	35177	23063
604	35237	23006
605	35295	22947
606	35356	22891
607	35420	22836
608	35480	22779
609	35540	22722
610	35601	22666
611	35661	22608
612	35718	22549
613	35776	22491
614	35836	22434
615	35894	22375
616	35955	22318
617	36013	22261
618	36074	22204
619	36138	22149
620	36198	22092
621	36258	22034
622	36319	21978
623	36380	21921
624	36441	21864
625	36505	21809
626	36565	21752
627	36626	21696
628	36687	21639
629	36747	21581
630	36807	21524
631	36868	21467
632	36927	21409
633	36988	21353
634	37050	21296
635	37110	21239
636	37168	21180
637	37227	21122
638	37290	21066
639	37351	21010
640	37409	20951
641	37464	20891
642	37520	20831
643	37579	20773
644	37641	20717
645	37699	20658
646	37755	20599
647	37815	20541
648	37877	20485
649	37946	20432
650	38011	20377
651	38075	20322
652	38138	20266
653	38200	20210
654	38261	20152
655	38320	20094
656	38376	20035
657	38437	19978
658	38499	19921
659	38558	19863
660	38619	19806
661	38679	19748
662	38740	19691
663	38799	19633
664	38858	19575
665	38922	19519
666	38982	19462
667	39045	19406
668	39104	19347
669	39164	19289
670	39224	19232
671	39284	19174
672	39346	19117
673	39409	19061
674	39471	19004
675	39534	18948
676	39593	18890
677	39651	18831
678	39713	18774
679	39773	18717
680	39834	18659
681	39893	18601
682	39951	18542
683	40012	18485
684	40072	18427
685	40131	18369
686	40190	18311
687	40250	18252
688	40309	18195
689	40367	18135
690	40423	18076
691	40481	18017
692	40537	17958
693	40594	17899
694	40651	17839
695	40709	17781
696	40768	17722
697	40829	17665
698	40890	17607
699	40945	17548
700	41001	17488
701	41057	17428
702	41112	17368
703	41167	17308
704	41221	17248
705	41275	17188
706	41328	17127
707	41383	17067
708	41437	17007
709	41494	16948
710	41552	16889
711	41606	16829
712	41661	16769
713	41715	16709
714	41769	16649
715	41824	16589
716	41879	16529
717	41934	16470
718	41992	16411
719	42047	16351
720	42105	16293
721	42160	16233
722	42214	16173
723	42266	16112
724	42318	16051
725	42371	15991
726	42424	15931
727	42477	15870
728	42533	15811
729	42590	15752
730	42647	15693
731	42702	15634
732	42757	15574
733	42814	15515
734	42868	15456
735	42925	15397
736	42982	15338
737	43042	15280
738	43102	15222
739	43155	15162
740	43211	15103
741	43270	15045
742	43329	14987
743	43385	14928
744	43447	14871
745	43503	14812
746	43560	14753
747	43620	14695
748	43678	14637
749	43735	14578
750	43790	14519
751	43847	14460
752	43907	14402
753	43965	14344
754	44025	14286
755	44087	14229
756	44151	14172
757	44210	14114
758	44263	14054
759	44319	13995
760	44373	13936
761	44427	13876
762	44483	13817
763	44540	13758
764	44597	13699
765	44655	13641
766	44715	13583
767	44773	13525
768	44836	13468
769	44893	13409
770	44951	13351
771	45013	13294
772	45071	13235
773	45127	13176
774	45188	13119
775	45246	13060
776	45300	13001
777	45359	12943
778	45416	12884
779	45473	12825
780	45532	12767
781	45591	12709
782	45648	12650
783	45708	12593
784	45768	12535
785	45827	12477
786	45886	12419
787	45948	12361
788	46008	12303
789	46070	12246
790	46137	12190
791	46200	12133
792	46267	12077
793	46329	12020
794	46393	11963
795	46454	11905
796	46518	11848
797	46580	11790
798	46643	11733
799	46703	11675
800	46763	11617
801	46825	11560
802	46887	11502
803	46947	11444
804	47011	11387
805	47072	11330
806	47138	11273
807	47199	11215
808	47261	11158
809	47322	11100
810	47385	11042
811	47447	10985
812	47509	10927
813	47568	10869
814	47627	10811
815	47688	10753
816	47746	10694
817	47805	10636
818	47865	10578
819	47926	10520
820	47986	10462
821	48047	10404
822	48102	10345
823	48159	10286
824	48220	10228
825	48281	10170
826	48342	10112
827	48405	10055
828	48464	9996
829	48522	9938
830	48577	9879
831	48633	9820
832	48689	9761
833	48742	9701
834	48797	9642
835	48854	9583
836	48910	9524
837	48970	9466
838	49036	9409
839	49098	9352
840	49156	9293
841	49219	9235
842	49277	9177
843	49336	9119
844	49391	9059
845	49446	9000
846	49508	8943
847	49572	8885
848	49630	8827
849	49690	8768
850	49749	8710
851	49809	8652
852	49874	8595
853	49935	8536
854	49994	8478
855	50056	8420
856	50116	8362
857	50178	8304
858	50245	8247
859	50307	8189
860	50367	8131
861	50428	8073
862	50489	8015
863	50551	7957
864	50615	7899
865	50681	7842
866	50743	7784
867	50805	7726
868	50865	7667
869	50925	7609
870	50986	7551
871	51048	7493
872	51112	7435
873	51172	7377
874	51230	7318
875	51284	7259
876	51340	7200
877	51400	7142
878	51459	7083
879	51518	7025
880	51577	6966
881	51640	6908
882	51702	6850
883	51767	6792
884	51827	6734
885	51891	6676
886	51953	6618
887	52015	6560
888	52075	6502
889	52135	6443
890	52196	6385
891	52254	6326
892	52312	6268
893	52369	6209
894	52432	6151
895	52492	6092
896	52552	6034
897	52614	5976
898	52673	5917
899	52733	5859
900	52797	5801
901	52859	5743
902	52919	5684
903	52982	5626
904	53043	5568
905	53106	5509
906	53165	5451
907	53224	5392
908	53285	5334
909	53348	5276
910	53410	5217
911	53473	5159
912	53532	5101
913	53591	5042
914	53650	4983
915	53707	4925
916	53767	4866
917	53827	4808
918	53890	4749
919	53951	4691
920	54013	4633
921	54072	4574
922	54131	4515
923	54194	4457
924	54255	4399
925	54319	4340
926	54376	4282
927	54434	4223
928	54491	4164
929	54549	4105
930	54606	4047
931	54666	3988
932	54725	3929
933	54785	3871
934	54843	3812
935	54902	3753
936	54960	3695
937	55019	3636
938	55078	3578
939	55137	3519
940	55195	3460
941	55252	3401
942	55309	3343
943	55368	3284
944	55425	3225
945	55486	3167
946	55545	3108
947	55603	3049
948	55661	2991
949	55719	2932
950	55777	2873
951	55834	2815
952	55891	2756
953	55948	2697
954	56007	2639
955	56064	2580
956	56120	2521
957	56177	2462
958	56231	2404
959	56289	2345
960	56344	2286
961	56399	2227
962	56455	2169
963	56512	2110
964	56567	2051
965	56628	1993
966	56687	1934
967	56743	1875
968	56795	1816
969	56844	1758
970	56901	1699
971	56955	1640
972	57010	1582
973	57064	1523
974	57117	1464
975	57170	1405
976	57222	1347
977	57276	1288
978	57328	1229
979	57383	1171
980	57436	1112
981	57488	1053
982	57542	995
983	57597	936
984	57652	877
985	57705	819
986	57757	760
987	57810	702
988	57865	643
989	57918	585
990	57976	526
991	58031	467
992	58089	409
993	58144	350
994	58197	292
995	58249	233
996	58305	175
997	58358	116
998	58417	58
999	58476	0
